"","Loan_Term","Income","Age","Status_marital","Type_residence","Red_flag","Type_employment","school","default","Time_to_default","delta"
"3470",60,2863.46,6,3,5,1,2,6,0,56,0
"3471",60,2863.85,6,3,4,1,2,2,0,56,0
"3472",18,2864,6,4,5,1,2,3,0,14,0
"3473",60,2864.64,5,3,5,1,2,4,0,56,0
"3474",33,2868.64,6,3,2,1,2,8,0,29,0
"3475",60,2869.86,7,3,3,1,2,6,0,56,0
"3476",24,2870.21,4,2,5,1,2,6,0,20,0
"3477",60,2870.5,6,3,5,1,2,4,0,56,0
"3478",48,2870.63,6,3,4,1,2,1,0,44,0
"3479",48,2870.74,4,3,3,1,2,2,1,30,1
"3480",30,2871.16,6,3,2,1,2,5,0,26,0
"3481",48,2871.16,5,6,5,1,2,5,0,44,0
"3482",60,2871.24,6,3,2,1,2,1,0,56,0
"3483",60,2872.5,7,3,3,1,2,6,0,56,0
"3484",42,2875,4,2,4,1,2,4,1,15,1
"3485",48,2875.37,5,2,5,1,2,2,0,44,0
"3486",20,2883.59,7,2,4,1,2,6,0,16,0
"3487",24,2884,4,2,5,1,2,4,0,20,0
"3488",24,2885.42,6,3,4,1,2,8,0,20,0
"3489",48,2885.83,6,4,5,2,2,4,0,44,0
"3490",60,2887.57,7,3,5,2,2,4,1,16,1
"3491",60,2888.12,6,3,5,2,2,5,1,38,1
"3492",48,2889.36,5,3,6,1,2,4,0,44,0
"3493",60,2890,3,2,3,1,2,5,0,56,0
"3494",24,2894.28,6,3,5,1,2,6,0,20,0
"3495",36,2894.33,6,3,5,1,2,4,0,32,0
"3496",24,2895.08,6,2,5,1,2,6,0,20,0
"3497",24,2896.3,4,3,3,1,2,4,0,20,0
"3498",48,2899.46,7,2,5,1,2,6,0,44,0
"3499",48,2899.7,7,3,5,1,2,2,0,44,0
"3500",60,2900,6,3,5,1,1,4,0,56,0
"3501",48,2900,3,2,3,1,2,5,0,44,0
"3502",60,2900,4,2,4,2,2,3,1,2,1
"3503",48,2900,6,3,5,2,2,6,1,12,1
"3504",48,2900,6,3,5,1,1,7,0,44,0
"3505",48,2900,6,3,5,2,2,6,1,0,1
"3506",60,2901.44,5,2,4,1,2,4,0,56,0
"3507",24,2904.49,7,3,5,1,2,4,0,20,0
"3508",24,2908.33,4,2,3,1,1,4,0,20,0
"3509",48,2908.5,4,3,3,1,2,5,0,44,0
"3510",24,2910.21,7,3,5,1,2,3,0,20,0
"3511",48,2914.14,4,6,5,1,2,6,0,44,0
"3512",60,2915,7,3,5,1,2,4,0,56,0
"3513",48,2915,6,2,5,1,2,4,0,44,0
"3514",54,2915.7,4,3,3,1,2,5,0,50,0
"3515",60,2916.66,4,2,5,1,2,6,0,56,0
"3516",36,2916.67,5,3,5,1,2,4,0,32,0
"3517",36,2916.78,6,3,4,1,2,6,0,32,0
"3518",34,2919.37,5,3,5,1,2,6,0,30,0
"3519",48,2922.58,7,3,5,1,2,4,0,44,0
"3520",36,2930,5,2,5,1,2,6,0,32,0
"3521",48,2932.6,4,3,4,1,2,4,1,5,1
"3522",48,2932.6,4,3,4,1,2,4,1,0,1
"3523",30,2933,7,3,5,1,2,4,0,26,0
"3524",60,2935.05,4,2,5,1,2,6,0,56,0
"3525",60,2937.08,6,3,5,1,2,6,0,56,0
"3526",60,2937.75,5,4,4,2,2,4,0,56,0
"3527",12,2939,4,3,5,1,2,4,0,8,0
"3528",36,2948.74,4,3,4,2,2,5,1,6,1
"3529",36,2948.74,4,3,4,2,2,5,1,0,1
"3530",48,2952.46,6,2,5,1,2,6,1,31,1
"3531",48,2952.46,6,2,5,1,2,6,1,0,1
"3532",48,2957.17,6,4,6,1,2,6,0,44,0
"3533",60,2964,4,2,3,1,2,4,0,56,0
"3534",37,2965.2,7,3,5,1,2,6,0,33,0
"3535",60,2968.9,6,2,4,1,2,6,0,56,0
"3536",15,2969.36,4,3,2,1,2,6,0,11,0
"3537",49,2971.36,5,3,5,1,2,4,0,45,0
"3538",33,2974.39,5,3,5,1,2,4,0,29,0
"3539",13,2974.84,4,3,7,1,2,6,0,9,0
"3540",60,2976.37,7,3,5,1,2,4,0,56,0
"3541",60,2978.44,7,3,4,1,2,2,0,56,0
"3542",24,2978.66,7,6,5,1,2,5,0,20,0
"3543",48,2980,2,2,3,1,2,4,0,44,0
